"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm";1;"STM32WL55CC";;;
2;"U3";"VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias";1;"TPS62152";;;
3;"R6";"R_0402_1005Metric";1;"31.2K";;;
4;"R5";"R_0402_1005Metric";1;"100k";;;
5;"R4";"R_0402_1005Metric";1;"330R";;;
6;"R3";"R_0402_1005Metric";1;"10k";;;
7;"R2,R1";"R_0402_1005Metric";2;"47k";;;
8;"L2";"L_1210_3225Metric";1;"2.2uH";;;
9;"L1";"L_1210_3225Metric";1;"15uH";;;
10;"J5";"Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal";1;"PV Panel 1";;;
11;"J4";"Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal";1;"PV Panel 2";;;
12;"J3";"Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal";1;"Battery";;;
13;"J1";"PinHeader_2x20_P1.27mm_Vertical_SMD";1;"Conn_02x20_Odd_Even";;;
14;"F1";"Fuse_0603_1608Metric";1;"Fuse_3A";;;
15;"D4,D3";"D_SOD-323";2;"D_Schottky_Small";;;
16;"D2";"LED_0603_1608Metric";1;"LED_Small";;;
17;"C9";"C_Elec_4x5.4";1;"10uF";;;
18;"C8";"C_0603_1608Metric";1;"0.1uF";;;
19;"C7";"C_0603_1608Metric";1;"3.3nF";;;
20;"C6,C2";"C_0603_1608Metric";2;"4.7uF";;;
21;"C5";"C_0603_1608Metric";1;"1.01uF";;;
22;"C4,C1";"C_0603_1608Metric";2;"4.9uF";;;
23;"C3";"C_0603_1608Metric";1;"470nF";;;
24;"SW2";"OS102011MA1QN1";1;"SW_SPDT";;;
25;"J7";"PinHeader_1x05_P1.27mm_Vertical";1;"Conn_01x05_Female";;;
26;"J2";"PinSocket_2x20_P1.27mm_Vertical_SMD";1;"Conn_02x20_Odd_Even";;;
27;"REF**,REF**,REF**,REF**";"MountingHole_2.5mm_Pad_Via";4;"MountingHole_2.5mm_Pad_Via";;;
